Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2021",48899.23,49147.22,47257.53,48912.38,34363564661,912054166029
"Mar 07, 2021",48918.68,51384.37,48918.68,51206.69,43137459378,954880954585
"Mar 08, 2021",51174.12,52314.07,49506.05,52246.52,48597428048,974321883623
"Mar 09, 2021",52272.97,54824.12,51981.83,54824.12,50912227385,1022439972862
"Mar 10, 2021",54824.01,57258.25,53290.89,56008.55,57295577614,1044580057477
"Mar 11, 2021",55963.18,58091.06,54484.59,57805.12,56772343595,1078135604118
"Mar 12, 2021",57821.22,57996.62,55376.65,57332.09,55689944702,1069366321844
"Mar 13, 2021",57343.37,61683.86,56217.97,61243.08,60669829814,1142369158667
"Mar 14, 2021",61221.13,61597.92,59302.32,59302.32,43901225564,1106226132525
"Mar 15, 2021",59267.43,60540.99,55393.17,55907.2,66419369890,1042946024860
"Mar 16, 2021",55840.79,56833.18,53555.03,56804.9,59749798599,1059745818423
"Mar 17, 2021",56825.83,58969.82,54528.63,58870.89,60258313191,1098337655327
"Mar 18, 2021",58893.08,60116.25,54253.58,57858.92,55746041000,1079511086884
"Mar 19, 2021",57850.44,59498.38,56643.7,58346.65,49063873786,1088666450746
"Mar 20, 2021",58332.26,60031.29,58213.3,58313.64,50361731222,1088105221978
"Mar 21, 2021",58309.91,58767.9,56005.62,57523.42,51943414539,1073417235408
"Mar 22, 2021",57517.89,58471.48,54288.16,54529.15,56521454974,1017595269117
"Mar 23, 2021",54511.66,55985.44,53470.69,54738.94,56435023914,1021563479682
"Mar 24, 2021",54710.49,57262.38,52514.33,52774.26,70567223787,984948142898
"Mar 25, 2021",52726.75,53392.39,50856.57,51704.16,67999812841,965028762666
"Mar 26, 2021",51683.01,55137.31,51579.86,55137.31,56652197978,1029150697411
"Mar 27, 2021",55137.57,56568.22,54242.91,55973.51,47266542233,1044814147412
"Mar 28, 2021",55974.94,56610.31,55071.11,55950.75,47686580918,1044446559059
"Mar 29, 2021",55947.9,58342.1,55139.34,57750.2,57625587027,1078088296477
"Mar 30, 2021",57750.13,59447.22,57251.55,58917.69,54414116432,1099939890804
"Mar 31, 2021",58930.28,59930.03,57726.42,58918.83,65520826225,1100016786763
"Apr 01, 2021",58926.56,59586.07,58505.28,59095.81,61669163792,1103377830758
"Apr 02, 2021",59098.88,60267.19,58869.28,59384.31,58727860620,1108813863083
